TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Smad3	Ss18	1	50.63	0.627	rgb(224, 97, 98)	2	None
Tead3	Srgn	0.99439	50.56	0.557	rgb(223,111,112)	1.9986	None
Xbp1	Stab1	-0.99439	50.56	-5.6E-01	rgb( 95,143,238)	1.9986	None
L3mbtl3	Spsb1	0.99439	50.56	0.562	rgb(223,110,111)	1.9986	2,2
Ahrr	Ssh2	0.98878	50.53	0.53	rgb(223,116,117)	1.998	2,2
Plagl2	Sptlc1	-0.98317	50.52	-5.2E-01	rgb(104,148,237)	1.9978	2,2
Ar	Ss18	0.97756	50.51	0.515	rgb(223,119,120)	1.9976	None
Pcgf2	Stambp	0.97756	50.51	0.505	rgb(223,120,121)	1.9976	2,2
Zeb2	Srxn1	0.97756	50.51	0.505	rgb(223,120,121)	1.9976	2,2
Rela	Stambp	0.97194	50.49	0.488	rgb(222,124,125)	1.9972	None
Hmga2	Srsf12	0.96633	50.48	0.479	rgb(222,126,126)	1.997	2,2
Nkx3-1	Stap1	0.96633	50.48	0.478	rgb(222,126,127)	1.997	None
Zfp385a	St14	0.96633	50.48	0.481	rgb(222,125,126)	1.997	2,2
Deaf1	St14	-0.96072	50.47	-4.7E-01	rgb(116,156,235)	1.9968	2,2
Mafg	Ssbp4	-0.96072	50.47	-4.7E-01	rgb(116,155,235)	1.9968	None
Zfp263	Sra1	0.95511	50.46	0.458	rgb(222,130,131)	1.9966	None
Nr1d1	Stab1	0.9495	50.45	0.452	rgb(222,131,132)	1.9964	None
Foxp1	St8sia6	0.9495	50.45	0.45	rgb(222,131,132)	1.9964	2,2
Klf12	Srpk1	-0.94389	50.43	-4.3E-01	rgb(124,160,233)	1.996	None
Klf9	Sqstm1	-0.94389	50.43	-4.3E-01	rgb(125,161,233)	1.996	2,2
Tcf7l2	Srpk2	0.94389	50.43	0.434	rgb(222,134,135)	1.996	None
Litaf	Stab1	-0.94389	50.43	-4.3E-01	rgb(124,160,233)	1.996	2,2
Bcl6b	St3gal1	-0.93828	50.42	-4.2E-01	rgb(126,162,233)	1.9958	None
Egr3	Ssbp4	0.93828	50.42	0.418	rgb(222,137,138)	1.9958	None
E2f1	Srgn	-0.93267	50.41	-4.1E-01	rgb(128,163,233)	1.9956	None
Nr1d2	Stab1	0.93267	50.41	0.409	rgb(221,139,140)	1.9956	None
Spib	Stap1	0.93267	50.41	0.41	rgb(222,139,140)	1.9956	None
Srebf1	Sqle	0.93267	50.41	0.407	rgb(221,139,140)	1.9956	None
Klf9	Sqle	0.92706	50.4	0.401	rgb(221,140,141)	1.9954	None
Ar	Sra1	0.92144	50.39	0.386	rgb(221,143,144)	1.9952	None
Hif3a	Srgn	0.92144	50.39	0.389	rgb(221,143,143)	1.9952	None
Zscan10	Srpk1	0.92144	50.39	0.387	rgb(221,143,144)	1.9952	None
Foxc1	Ssh2	0.91583	50.38	0.383	rgb(221,144,145)	1.995	None
Nfe2l2	Ssbp4	0.91583	50.38	0.378	rgb(221,145,146)	1.995	None
Mesp2	St3gal1	0.91583	50.38	0.776	rgb(226, 69, 70)	1.995	2,2
Mbnl2	Sptlc1	-0.91022	50.37	-3.7E-01	rgb(138,169,231)	1.9948	2,2
