TF	Target	combined_confidence
Hif1a	Bnip3	0.9999660949266709
Gabpa	Hexb	0.9999246553926019
Tsc22d1	Pigb	0.9998756813977931
Elk3	Wdr1	0.9998568452459436
Hif1a	P4hb	0.999841776324464
Hes6	Auh	0.9998380090940941
Mxd4	Ypel5	0.9998191729422445
Drap1	Gmfg	0.9997777334081757
Hif1a	Aldoa	0.9997551300259562
Hif1a	Egln1	0.9997249921829969
Drap1	Uqcrq	0.9996797854185582
Hif1a	Ero1l	0.9996760181881882
Adnp	Stambp	0.9996722509578183
Hif1a	Slc2a1	0.9996609492667086
Zbed4	Ms4a6c	0.9996383458844892
Stat3	Hif1a	0.9996082080415299
Hif1a	Pgm2	0.9995328634341318
Ski	Ifitm2	0.9995064928215426
Fli1	Rfwd3	0.999491423900063
Tsc22d1	Dzip1	0.9994688205178435
Hif1a	Slc2a3	0.9994349154445143
Tsc22d1	Zfp568	0.9993934759104454
Drap1	Krtcap2	0.999370872528226
Zfp87	Higd1a	0.999333200224527
Maff	Krtcap2	0.999329432994157
Klf10	Rara	0.9993256657637871
Arid5a	Qser1	0.9992804589993483
Arid2	Vdac1	0.9992013471615803
Tulp3	Il2ra	0.999092097480853
Zbtb32	Perp	0.9990393562556744
Pou2f2	Lrrc59	0.9990355890253045
Zfp202	Ctla2a	0.9990167528734549
Hif1a	Arrb1	0.9989828478001258
Egr3	Mgst3	0.9989790805697559
Zfp35	Zscan21	0.9989715461090161
Atf6b	Syf2	0.9989451754964268
Fli1	Pter	0.9988999687319879
Nfic	Cstf2t	0.9988283913549597
Satb1	Hif1a	0.9988246241245898
Zfp280c	Cnot1	0.99882085689422
Adnp	Rraga	0.9987982535120005
Hif1a	Ppme1	0.9987304433653422
Eea1	Gnptab	0.9986664004490539
Eea1	Gypc	0.9986550987579441
Foxn2	Kctd12	0.9986287281453549
Ash1l	Traf3	0.9985985903023956
Zfp598	Traf3	0.9985948230720256
Dzip1	Ikbke	0.9985722196898063
Etv6	Icam2	0.9985684524594364
Drap1	Exosc8	0.9985232456949975
Son	Tsc1	0.9984968750824081
Gabpa	Eif4e3	0.9984139960142703
Cic	Ctla2a	0.9984026943231605
Rreb1	Ikbke	0.9983989270927907
Bbx	Il10	0.998383858171311
Foxn2	Qser1	0.9983725564802013
Trps1	Ctla4	0.9983273497157624
Zfp445	Agpat3	0.9983198152550227
Dmtf1	Pmm1	0.9982934446424333
Cux1	Fbxo4	0.9982256344957751
Zkscan1	Rai14	0.9982256344957751
Bcl11b	Ly6a	0.9981615915794867
