TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Nhlh1	Arid5a	1	0.36481	rgb(221,147,148)	2	2,2
Nfat5	Ccdc50	0.9973	0.66738	rgb(224, 90, 91)	1.9986	2,2
Egr2	Uqcrq	-0.98915	-0.48283	rgb(112,153,235)	1	2,2
Zfx	Rasgrp2	0.98586	0.63519	rgb(224, 96, 97)	1.9929	2,2
Foxn3	Egln3	0.98352	0.60944	rgb(224,101,102)	1.9917	2,2
Six1	Kdelc1	0.97829	0.58798	rgb(223,105,106)	1.9891	2,2
Zbtb4	Il9	0.97582	0.68026	rgb(224, 87, 88)	1.9878	2,2
Foxb1	Tapbp	0.96275	0.48498	rgb(222,124,125)	1.9813	2,2
Pou2af1	Zfp36	0.9621	0.72532	rgb(225, 78, 80)	1.9809	2,2
Zfx	Higd1a	-0.94937	-0.68884	rgb( 68,126,243)	1.02	2,2
Ikzf3	Crip1	0.94908	0.48283	rgb(222,125,126)	1.9744	2,2
Egr1	Il2rb	0.94826	0.60515	rgb(224,101,103)	1.974	2,2
Glis2	Slamf6	0.94802	0.56867	rgb(223,108,110)	1.9739	2,2
Smad3	Arhgef3	-0.94403	-0.83047	rgb( 37,107,249)	1.0227	2,2
Egr1	Pgam1	0.94001	0.56009	rgb(223,110,111)	1.9698	2,2
Elk3	Lime1	0.93874	0.58369	rgb(223,106,107)	1.9692	2,2
Elk3	Gltscr2	0.93653	0.63734	rgb(224, 95, 97)	1.9681	2,2
Foxp3	Vamp2	0.93532	0.59871	rgb(224,103,104)	1.9675	2,2
Eomes	Tsc22d3	0.93262	0.64807	rgb(224, 93, 95)	1.9661	None
Tcf7l1	Gemin6	0.92768	0.58369	rgb(223,106,107)	1.9636	2,2
Hmga2	Psme2	0.92133	0.58798	rgb(223,105,106)	1.9604	2,2
Cic	Emp1	0.91997	0.75322	rgb(225, 73, 75)	1.9598	2,2
Stat2	Mbp	0.918	0.69742	rgb(225, 84, 85)	1.9588	2,2
Zfp219	Foxo1	-0.91777	-0.62446	rgb( 81,135,241)	1.0359	2,2
Nhlh1	Sec24d	0.91176	0.62661	rgb(224, 97, 99)	1.9556	2,2
Sox5	Trat1	0.91154	0.57725	rgb(223,107,108)	1.9555	2,2
Smad3	Plod2	0.90877	0.73605	rgb(225, 76, 78)	1.9541	2,2
Rxrb	Epc1	0.90831	0.64378	rgb(224, 94, 95)	1.9539	2,2
Lyl1_Tal2	Spry1	0.90812	0.65451	rgb(224, 92, 93)	1.9538	2,2
Zfp300	Il21	0.90791	0.58369	rgb(223,106,107)	1.9537	2,2
Tcf7l1	Rbmx	0.90703	0.48927	rgb(222,124,125)	1.9533	2,2
Irf7	Serpinb6b	0.90625	0.51288	rgb(223,119,120)	1.9529	2,2
Tcf3	Ms4a6c	0.90188	0.62017	rgb(224, 99,100)	1.9507	2,2
Etv5	Dpp4	-0.90095	-0.75966	rgb( 52,117,246)	1.0443	2,2
Stat1	Lrba	0.89999	0.6867	rgb(225, 86, 87)	1.9497	2,2
Zfx	Pde2a	0.89991	0.65665	rgb(224, 92, 93)	1.9497	2,2
Stat2	Fyn	0.89886	0.71674	rgb(225, 80, 82)	1.9492	2,2
Stat4	Cd2	0.89563	0.82618	rgb(226, 59, 61)	1.9475	2,2
Six5	Exo1	0.89535	0.65451	rgb(224, 92, 93)	1.9474	2,2
Pou2af1	F2rl1	0.89106	0.70172	rgb(225, 83, 84)	1.9452	2,2
Hesx1	Capg	0.88952	0.73605	rgb(225, 76, 78)	1.9445	2,2
Hlf	Npc2	0.88799	0.51931	rgb(223,118,119)	1.9437	2,2
Zfx	Klf2	0.88768	0.94206	rgb(227, 37, 39)	1.9435	2,2
Egr1	Galk1	0.88637	0.62232	rgb(224, 98, 99)	1.9429	2,2
Stat1	Cd47	0.88607	0.57296	rgb(223,108,109)	1.9427	2,2
Crem	H2-Aa	0.88484	0.61373	rgb(224,100,101)	1.9421	2,2
Zfx	Sytl2	0.88336	0.70386	rgb(225, 83, 84)	1.9414	2,2
Six5	Moap1	0.88173	0.48283	rgb(222,125,126)	1.9405	2,2
Zscan10	Oxct1	0.88095	0.62661	rgb(224, 97, 99)	1.9402	2,2
Egr2	Cox7a2l	0.87591	0.47854	rgb(222,126,127)	1.9376	2,2
Hlx	Inhba	0.87446	0.59657	rgb(224,103,104)	1.9369	2,2
Zfp219	Snx9	0.87417	0.58584	rgb(223,105,106)	1.9367	2,2
Ets1	Lgals3	0.87364	0.47639	rgb(222,126,127)	1.9365	2,2
Fosl2	Ctla2b	0.86975	0.78112	rgb(226, 68, 69)	1.9345	2,2
Glis2	Isg20	0.86809	0.69099	rgb(225, 85, 86)	1.9337	2,2
Foxb1	Mnda	0.86774	0.603	rgb(224,102,103)	1.9335	2,2
E2f1	Chic2	-0.86757	-0.45708	rgb(118,157,234)	1.0611	2,2
Batf	Anxa2	0.86596	0.56652	rgb(223,109,110)	1.9326	2,2
Hmga2	Psme1	0.86393	0.54292	rgb(223,113,114)	1.9316	None
Zfx	Lrrc59	-0.85997	-0.72747	rgb( 59,121,245)	1.0649	2,2
Irf2	Pxn	-0.8587	-0.70172	rgb( 65,124,244)	1.0656	2,2
Egr1	Ifnar1	-0.85698	-0.61803	rgb( 83,135,240)	1.0664	2,2
Pou2af1	Cbx4	0.8566	0.5279	rgb(223,116,117)	1.9279	None
Egr4	Dzip1	0.85603	0.50644	rgb(223,120,121)	1.9276	None
Nfat5	Maoa	0.8548	0.56652	rgb(223,109,110)	1.927	2,2
Egr1	Ift57	0.85471	0.79185	rgb(226, 66, 67)	1.927	2,2
Sp2	Snx10	0.85363	0.397	rgb(221,141,142)	1.9264	2,2
Stat1	Eif4e3	0.85295	0.70601	rgb(225, 82, 84)	1.9261	2,2
Srebf1	Pdpn	0.85131	0.73176	rgb(225, 77, 79)	1.9252	2,2
Nfatc2	Acsl4	0.85062	0.63305	rgb(224, 96, 97)	1.9249	2,2
Tcf3	Vps37b	0.84991	0.86695	rgb(227, 51, 53)	1.9245	2,2
Srebf1	Timd2	0.84934	0.72318	rgb(225, 79, 80)	1.9243	2,2
Zscan10	Mapk6	-0.84905	-0.66738	rgb( 72,129,242)	1.0704	2,2
Bhlhe40	Spsb1	0.84805	0.47425	rgb(222,126,127)	1.9236	2,2
Irf2	Myo10	-0.84711	-0.71245	rgb( 62,123,244)	1.0714	None
Trerf1	BC094916	0.84651	0.68455	rgb(225, 86, 88)	1.9228	2,2
Zfp523	Angptl4	0.84552	0.44421	rgb(222,132,133)	1.9223	2,2
Zbtb7b	Mtss1	0.8448	0.50429	rgb(223,121,122)	1.922	2,2
Lyl1_Tal2	Aig1	0.84442	0.78541	rgb(226, 67, 69)	1.9218	2,2
Crem	Vdac1	-0.8439	-0.78112	rgb( 47,114,247)	1.073	2,2
Egr2	Ehd3	0.84374	0.64592	rgb(224, 94, 95)	1.9214	2,2
Epas1	Ptpre	-0.84272	-0.77039	rgb( 50,115,246)	1.0736	2,2
Zbtb7b	Cxcr4	0.84122	0.62017	rgb(224, 99,100)	1.9202	2,2
Egr1	Tle4	-0.84105	-0.62661	rgb( 81,134,241)	1.0745	2,2
Tal2	Serpinc1	0.84042	0.55579	rgb(223,111,112)	1.9198	2,2
Klf4	Idi1	0.83911	0.82618	rgb(226, 59, 61)	1.9191	2,2
Tcf7l1	Trmt5	0.83707	0.70815	rgb(225, 82, 83)	1.9181	2,2
Zbtb33	Fez2	0.83551	0.88841	rgb(227, 47, 49)	1.9173	2,2
Thap1	Psrc1	0.83549	0.3176	rgb(220,156,157)	1.9173	2,2
Elk3	Utrn	0.83437	0.63734	rgb(224, 95, 97)	1.9167	2,2
