TF	Target	combined_confidence
Klf3	BC021614	0.9999810621842119
Klf10	Lpxn	0.999852285036853
Klf10	Traf3	0.9998257720947497
Hif1a	Ero1l	0.9998144094052769
Arid2	Idi1	0.9997575959579126
Mga	Prnp	0.9997197203263365
Egr2	Syne1	0.9996288188105537
Irf1	Serpinf1	0.999606093431608
Batf	Lrba	0.9993902023316239
Elk3	Prkch	0.9993599018263629
Zbtb17	B3gnt2	0.9993333888842596
Cic	Serpinf1	0.9992993008158411
Dzip1	Hexim1	0.9992046117369007
Egr1	Kdelc1	0.9991932490474279
Kdm5b	Utrn	0.9991932490474279
Mtf2	Ppp1r10	0.9991402231632213
Atf3	Pltp	0.999132648036906
Hif1a	Galk1	0.9990871972790146
Rela	Ahr	0.9990871972790146
Atf5	Rnf130	0.9990606843369113
Mxd4	Ypel3	0.9990228087053351
Cebpb	Tmem43	0.9990114460158623
Cebpb	Endod1	0.9989659952579709
Cebpb	Impdh1	0.9989205445000795
Sp100	Id2	0.9988940315579762
Gabpa	Ccng2	0.9988826688685034
Atf3	Ripk3	0.9988485808000849
Irf1	Inhba	0.9988485808000849
Srebf1	Ccnd3	0.9987917673527206
Zfp35	Ppp1r10	0.998787979789563
Trps1	Slc14a1	0.9987804046632478
Zfp202	Arf1	0.9987728295369326
Gabpa	Enpp1	0.9986781404579922
Rorc	Chm	0.998640264826416
Satb1	Eno3	0.9986326897001008
Klf10	Notch1	0.9986251145737856
Cdc5l	Dclre1a	0.9986061767579975
Mxi1	Galk1	0.9985872389422094
Hif1a	Sap30	0.998560726000106
Irf7	Pxmp2	0.9984319488527471
Rel	Runx2	0.9983448349001219
Cic	Arhgef3	0.9983372597738067
Zfp617	Siah1a	0.9983334722106492
Mnt	Rcl1	0.9982766587632849
Irf9	Rtp4	0.9982425706948663
Hes6	Grina	0.9982349955685511
Litaf	Rdh11	0.9982312080053934
Mga	Sav1	0.9981327313632955
Hif1a	Bnip3	0.9981213686738226
Zeb2	Pvt1	0.9980910681685617
Egr3	Dusp12	0.9980721303527736
Atf6	Ankmy2	0.998068342789616
Nfil3	Dzip1	0.9980645552264584
Dzip1	Arrb2	0.9980456174106703
Cdc5l	Dffb	0.9980115293422518
Nhlh1	Itpk1	0.9979319905159418
Stat3	Trat1	0.9979130527001537
Rxrb	Prnp	0.9978865397580504
Stat3	Rnf149	0.9978638143791048
Foxo3	Syne1	0.9978410890001591
Zmiz2	Ypel5	0.9978335138738439
Litaf	Ripk2	0.9978107884948981
Klf10	Pgrmc1	0.9977994258054254
Nfkb2	Lta	0.9977880631159525
Klf10	Furin	0.9977691253001644
Stat3	Chmp4b	0.9977691253001644
Atf6	Fbxo18	0.9977274621054306
Mef2d	Rel	0.997704736726485
Gabpa	Spata6	0.9976971616001696
Litaf	Slamf7	0.9976554984054359
Cebpb	Rabggta	0.9976327730264902
Rxrb	Adck1	0.9975835347054413
Cic	Il17a	0.9975683844528107
Cic	Slamf6	0.9975532342001803
Zeb2	Tpm1	0.9975532342001803
Klf10	Il21	0.9975380839475498
Tbx21	Jak3	0.9975380839475498
Zfpm1	Cyp1b1	0.9975342963843922
Irf1	H1f0	0.9975077834422889
Zbtb22	Tprkb	0.9974926331896584
Klf10	Tgfbr1	0.9974888456265009
Litaf	Prkca	0.997477482937028
Irf9	Irf7	0.9974547575580823
Zbtb44	Ripk1	0.9974547575580823
Nfkb1	BC021614	0.997397944110718
Cebpg	Ski	0.9973524933528266
Irf9	Gpr146	0.997348705789669
Nr3c1	Abcb1b	0.997348705789669
Zfpm1	Rad52	0.997348705789669
Cdc5l	Myo6	0.9973146177212505
Hes6	Pgm2	0.9972350788949406
Hif1a	Egln1	0.9972237162054677
Cxxc1	Cox17	0.9972199286423101
Fosl2	Tbxa2r	0.9972085659528372
Hes6	Auh	0.9971972032633644
Bcl11b	Hmgcl	0.9971934157002068
Cux1	Stk39	0.9971934157002068
Klf10	Skil	0.9970987266212664
Tulp3	Vegfb	0.9970987266212664
Foxp1	Gcnt2	0.9970949390581088
Zfpm1	Dst	0.9970873639317935
Zfp275	Plekha1	0.9970343380475869
E2f1	Rfwd3	0.9970305504844293
Ddit3	Myo10	0.9970078251054836
Atf6	Foxo1	0.9969282862791737
Foxp1	Fyn	0.9969131360265432
Atf5	Tnfsf11	0.996905560900228
Tcf4	Cdadc1	0.996905560900228
Irf2	Pvt1	0.9968601101423367
Dzip1	Nsg2	0.9968032966949724
Ncoa3	Tacc2	0.9967881464423419
Zfp35	Trib1	0.9967502708107657
Zfp598	Traf3	0.9967464832476082
Zfp688	Ercc5	0.9967464832476082
Hes6	Fbxo21	0.996708607616032
Zfp426	Chmp4b	0.9966783071107711
Fli1	Sell	0.9966707319844559
Fosl1	Fbxo4	0.9966555817318253
Hbp1	Jak2	0.9966442190423526
Hif1a	Serpinf1	0.9966442190423526
Stat3	Tspan5	0.9966025558476188
Cic	Timd2	0.9965684677792003
Irf4	Slc4a8	0.9965343797107816
Ncoa3	Endod1	0.9965343797107816
Zbtb44	Fli1	0.9965268045844664
Nhlh1	Sema4d	0.9964927165160479
Atf6	Hspa4l	0.9964699911371022
Zfp277	Mettl8	0.9963942398739499
Satb1	Gimap4	0.9963790896213194
Gabpa	Naga	0.9963601518055314
Tef	Tspan2	0.9963563642423737
Rela	Ccng2	0.9963260637371129
Zfp101	Anln	0.9962578876002758
Cxxc1	Abhd4	0.9962503124739605
Trps1	Mapkapk2	0.99623516222133
Zfp703	Tpd52	0.9962162244055419
Klf10	Ctla2a	0.9961556233950201
Klf10	Mettl8	0.9961556233950201
Zhx1	Mapk14	0.9961253228897592
Zfp386	Ing2	0.9961215353266015
Atf6	Cebpg	0.9960988099476559
Sp100	Gypc	0.996087447258183
Atf2	Rgs19	0.9960836596950254
Mafg	Lsp1	0.9960722970055526
Ankzf1	Npc2	0.996068509442395
Zfp277	Pdxp	0.9960457840634492
Nfe2l2	Gpr65	0.9960116959950307
Stat3	Hif1a	0.9960003333055578
Satb1	Rrad	0.9959927581792426
Rela	Rbmx	0.995988970616085
Satb1	Id2	0.9959738203634546
Hmga1	Epc1	0.9959473074213513
Myb	Plod2	0.9959245820424055
Thap7	Cltb	0.9959018566634599
Runx1	Igf2r	0.9958374680897804
Zbed4	Gsn	0.9957844422055738
Mbd3	Uqcrq	0.9957465665739976
Klf10	Mapk11	0.99574277901084
Zfp90	Ick	0.9957314163213672
Ski	Ifitm2	0.9957276287582095
Atf2	Armcx2	0.9956821780003181
Creb1	Commd9	0.9956594526213725
Fli1	Rfwd3	0.995576126231905
Fosl1	Uqcrq	0.995576126231905
Irf4	Rtp4	0.9955534008529592
Runx2	Cd84	0.9954624993371765
Satb1	Chmp4b	0.9954359863950731
Hif1a	Aldoa	0.9953943232003394
Mafg	Cd5l	0.9953943232003394
Stat5b	Stx1a	0.9953943232003394
Atf2	Gimap4	0.9953753853845513
Zfp52	Ehd3	0.9953450848792904
