TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Hif1a	Ero1l	1	0.32759	rgb(221,154,155)	2	2,2
Gm14420	Cdkn2d	0.96803	0.51724	rgb(223,118,119)	1.9837	2,2
Fosl1	Chst12	0.96653	0.48276	rgb(222,125,126)	1.9829	2,2
Stat3	Tnip2	0.96589	0.39655	rgb(221,141,142)	1.9826	2,2
Hif1a	Bnip3	0.9631	0.39655	rgb(221,141,142)	1.9812	2,2
Zfx	S100a13	-0.96132	-0.53448	rgb(101,146,237)	1	2,2
E2f4	Cdc25b	0.95967	0.67241	rgb(224, 89, 90)	1.9794	2,2
Hif1a	Egln1	0.95768	0.65517	rgb(224, 92, 93)	1.9784	None
E2f1	Anln	0.95403	0.5	rgb(223,122,123)	1.9766	2,2
Stat3	Chmp4b	0.93359	0.75862	rgb(225, 72, 74)	1.9661	2,2
Zfx	Nudt8	-0.92987	-0.68966	rgb( 67,126,243)	1.016	2,2
E2f1	Smpd4	0.92674	0.51724	rgb(223,118,119)	1.9627	2,2
Hif1a	Pgm2	0.92208	0.51724	rgb(223,118,119)	1.9603	2,2
Egr1	Acad8	0.91946	0.67241	rgb(224, 89, 90)	1.9589	2,2
Zscan10	Dctpp1	0.91675	0.53448	rgb(223,115,116)	1.9576	2,2
Stat2	Gbp4	0.91116	0.60345	rgb(224,102,103)	1.9547	2,2
Hif1a	Hk1	0.89178	0.56897	rgb(223,108,109)	1.9448	2,2
Stat3	Il21	0.8899	0.44828	rgb(222,131,132)	1.9439	2,2
Mycn	Max	0.88528	0.7069	rgb(225, 82, 83)	1.9415	2,2
Zbtb7b	Nfat5	0.87982	0.93103	rgb(227, 39, 41)	1.9387	2,2
Klf5	Mapk7	0.8791	0.51724	rgb(223,118,119)	1.9384	2,2
Klf5	Hmgn1	-0.87705	-0.37931	rgb(135,167,231)	1.043	2,2
Erg	Kdelc1	-0.8742	-0.65517	rgb( 75,131,242)	1.0444	2,2
Fosl1	Pgs1	0.87076	0.60345	rgb(224,102,103)	1.9341	2,2
Zfp335	Krtcap2	-0.86838	-0.65517	rgb( 75,131,242)	1.0474	2,2
Gabpa	Heatr1	0.86233	0.48276	rgb(222,125,126)	1.9298	2,2
Stat3	Timp1	0.86202	0.65517	rgb(224, 92, 93)	1.9296	2,2
Klf5	Pcbp4	0.86017	0.68966	rgb(225, 85, 87)	1.9287	2,2
Fosl1	Rap1gds1	0.85911	0.55172	rgb(223,112,113)	1.9282	2,2
Foxq1	Trappc10	-0.85586	-0.51724	rgb(105,149,237)	1.0538	2,2
Elf1	Pts	0.85369	0.55172	rgb(223,112,113)	1.9254	2,2
Hif1a	Sap30	0.85163	0.65517	rgb(224, 92, 93)	1.9244	2,2
Klf5	C2cd2l	0.85059	0.41379	rgb(222,138,139)	1.9238	2,2
Bhlhe40	Znrf1	0.85052	0.63793	rgb(224, 95, 96)	1.9238	2,2
Elf1	Lrrc59	-0.84475	-0.62069	rgb( 82,135,241)	1.0594	2,2
Tcf12	Exo1	0.84375	0.63793	rgb(224, 95, 96)	1.9203	2,2
Zfx	Casp6	-0.84182	-0.5	rgb(109,151,236)	1.0609	2,2
Stat3	Klf3	-0.83959	-0.63793	rgb( 79,133,241)	1.0621	2,2
Rela	Ptpn1	-0.83923	-0.53448	rgb(101,146,237)	1.0622	2,2
Sp2	Pdzk1ip1	0.83653	0.5	rgb(223,122,123)	1.9167	2,2
Zfp365	Psrc1	0.83534	0.53448	rgb(223,115,116)	1.916	2,2
Irf4	Cox17	0.83252	0.63793	rgb(224, 95, 96)	1.9146	2,2
Rreb1	Ikbke	0.83157	0.7069	rgb(225, 82, 83)	1.9141	2,2
Stat3	Adarb1	0.83034	0.74138	rgb(225, 75, 77)	1.9135	2,2
Hif1a	P4hb	0.83026	0.63793	rgb(224, 95, 96)	1.9135	2,2
Zfx	Auh	-0.82981	-0.7931	rgb( 45,112,247)	1.067	2,2
Cebpg	Dst	0.82915	0.62069	rgb(224, 98,100)	1.9129	2,2
Gfi1	Plod2	0.82894	0.48276	rgb(222,125,126)	1.9128	2,2
Stat3	Flot1	0.82428	0.62069	rgb(224, 98,100)	1.9104	None
Elf1	Zfpm1	-0.82235	-0.68966	rgb( 67,126,243)	1.0709	2,2
Hif1a	Slc2a3	0.81834	0.68966	rgb(225, 85, 87)	1.9074	2,2
Hif1a	Aldoa	0.81487	0.56897	rgb(223,108,109)	1.9056	2,2
Elf1	Cln6	-0.81442	-0.58621	rgb( 90,140,239)	1.0749	2,2
Zbtb46	Penk	0.81345	0.75862	rgb(225, 72, 74)	1.9049	None
Zfp148	Map3k1	0.8134	0.62069	rgb(224, 98,100)	1.9049	None
Smad3	Ctla2b	0.81223	0.7069	rgb(225, 82, 83)	1.9043	2,2
E2f1	Ypel5	-0.81095	-0.55172	rgb( 97,144,238)	1.0767	2,2
Irf5	Slc4a8	-0.8067	-0.41379	rgb(127,162,233)	1.0788	2,2
Gabpa	Smyd5	0.80636	0.7069	rgb(225, 82, 83)	1.9013	2,2
Bhlhe40	Cnnm3	0.80629	0.46552	rgb(222,128,129)	1.9012	2,2
Hif1a	Atp7b	0.8035	0.58621	rgb(223,105,106)	1.8998	2,2
Foxf2	Nudt4	0.8026	0.72414	rgb(225, 79, 80)	1.8994	2,2
Ar	Sra1	0.80251	0.62069	rgb(224, 98,100)	1.8993	2,2
Hes1	Gart	0.80161	0.63793	rgb(224, 95, 96)	1.8988	2,2
Tal2	Tmem38b	0.80032	0.60345	rgb(224,102,103)	1.8982	2,2
Meis3	Serpinb6b	0.79881	0.74138	rgb(225, 75, 77)	1.8974	None
Gabpa	Gpatch4	0.79825	0.58621	rgb(223,105,106)	1.8971	2,2
Foxq1	Vav1	-0.797	-0.65517	rgb( 75,131,242)	1.0838	2,2
Egr1	Cd81	0.79504	0.62069	rgb(224, 98,100)	1.8955	2,2
Irf4	Serpinb9	0.79428	0.56897	rgb(223,108,109)	1.8951	2,2
E2f1	Gmfg	-0.7929	-0.68966	rgb( 67,126,243)	1.0859	2,2
Tcf7l1	Rfwd3	0.7886	0.58621	rgb(223,105,106)	1.8922	2,2
Hif1a	Pfkp	0.78847	0.65517	rgb(224, 92, 93)	1.8922	2,2
Foxq1	Ifi27l2a	0.78794	0.56897	rgb(223,108,109)	1.8919	2,2
Hif1a	Ppme1	0.78616	0.58621	rgb(223,105,106)	1.891	2,2
Elk3	Aldh3a2	0.78582	0.56897	rgb(223,108,109)	1.8908	2,2
Hif1a	Pafah1b3	0.78487	0.5	rgb(223,122,123)	1.8903	2,2
E2f1	Ptpn11	0.78413	0.58621	rgb(223,105,106)	1.8899	2,2
Batf	Picalm	0.78235	0.7069	rgb(225, 82, 83)	1.889	2,2
Rela	Mllt6	-0.78154	-0.74138	rgb( 56,119,245)	1.0917	2,2
E2f1	Tnk2	0.78136	0.5	rgb(223,122,123)	1.8885	2,2
Zfx	Plod2	-0.78125	-0.44828	rgb(120,158,234)	1.0918	2,2
Stat3	Rorc	0.77609	0.63793	rgb(224, 95, 96)	1.8858	2,2
E2f4	Tyms	0.77351	0.7931	rgb(226, 66, 67)	1.8845	2,2
Hes1	Cd47	-0.77206	-0.5	rgb(109,151,236)	1.0965	2,2
Zfp35	Dusp12	0.7697	0.55172	rgb(223,112,113)	1.8826	None
Stat3	Chm	0.76936	0.65517	rgb(224, 92, 93)	1.8824	2,2
Mga	Il12rb2	0.76882	0.55172	rgb(223,112,113)	1.8821	2,2
Smad3	Pmepa1	0.76878	0.62069	rgb(224, 98,100)	1.8821	2,2
Fos	Tubb6	0.76868	0.67241	rgb(224, 89, 90)	1.8821	2,2
Zfp629	Ttbk2	0.76521	0.55172	rgb(223,112,113)	1.8803	2,2
Klf4	Mapk3	0.76373	0.56897	rgb(223,108,109)	1.8795	2,2
Zfp365	Phlda3	0.76343	0.65517	rgb(224, 92, 93)	1.8794	2,2
Foxq1	Sema4d	-0.76168	-0.55172	rgb( 97,144,238)	1.1018	2,2
Plscr1	Asns	0.75846	0.63793	rgb(224, 95, 96)	1.8768	2,2
Tcf3	Naga	0.75747	0.56897	rgb(223,108,109)	1.8763	2,2
Nr1i3	Tnk2	0.7533	0.48276	rgb(222,125,126)	1.8742	2,2
Irf4	Cst3	0.75292	0.53448	rgb(223,115,116)	1.874	2,2
Elf1	Flot2	-0.75176	-0.60345	rgb( 86,137,240)	1.1068	2,2
Fos	Trpv2	0.75131	0.62069	rgb(224, 98,100)	1.8732	2,2
Irf9	Stat2	0.75068	0.55172	rgb(223,112,113)	1.8729	2,2
Sp3	Pafah1b3	0.75006	0.5	rgb(223,122,123)	1.8726	2,2
Sp3	Gnb5	0.74898	0.48276	rgb(222,125,126)	1.872	2,2
Stat3	Nek6	0.74781	0.65517	rgb(224, 92, 93)	1.8714	2,2
Fosl1	Bzw2	-0.74735	-0.72414	rgb( 60,121,245)	1.1091	2,2
Zfx	Pla2g12a	-0.74722	-0.72414	rgb( 60,121,245)	1.1092	2,2
Elf1	Mboat7	-0.74662	-0.67241	rgb( 71,128,243)	1.1095	2,2
E2f1	Srgn	-0.74608	-0.68966	rgb( 67,126,243)	1.1097	2,2
Fosl1	Slc4a8	0.7427	0.37931	rgb(221,145,145)	1.8688	2,2
Zbtb46	Tnfsf4	0.74172	0.77586	rgb(226, 69, 70)	1.8683	2,2
Plag1	Pbx2	0.74158	0.68966	rgb(225, 85, 87)	1.8682	2,2
Klf4	Eif4ebp1	0.74104	0.56897	rgb(223,108,109)	1.868	2,2
Stat3	Slamf6	-0.74101	-0.63793	rgb( 79,133,241)	1.1123	None
Smad3	Adam19	0.74012	0.44828	rgb(222,131,132)	1.8675	2,2
Hif1a	Egln3	0.74	0.68966	rgb(225, 85, 87)	1.8674	2,2
Foxn3	Zfpm1	-0.73922	-0.65517	rgb( 75,131,242)	1.1132	2,2
Hif1a	Arrb1	0.73875	0.51724	rgb(223,118,119)	1.8668	2,2
Smad3	Nt5e	0.73837	0.81034	rgb(226, 62, 64)	1.8666	2,2
