TF	Target	rank	confidence	stroke	stroke-width	stroke-dasharray
Irf9	Cyth1	1	0.3543	rgb(221,149,150)	2	2,2
Six1	Endod1	1	0.26843	rgb(220,166,166)	2	2,2
Tbx21	Cdk6	1	0.35286	rgb(221,150,150)	2	2,2
Foxa1	Rgs16	-0.96721	-0.29215	rgb(154,178,228)	1	2,2
Sall4	Slfn2	-0.96721	-0.46152	rgb(117,156,235)	1	2,2
Clock	Calcrl	0.95082	0.16272	rgb(219,186,186)	1.975	2,2
Rora	Cyth1	0.95082	0.23702	rgb(220,172,172)	1.975	2,2
Sgsm2	Slc16a6	-0.95082	-0.40847	rgb(128,163,233)	1.0083	None
Irf2	Stk4	0.93443	0.38635	rgb(221,143,144)	1.9667	2,2
Trerf1	Antxr2	0.93443	0.50284	rgb(223,121,122)	1.9667	2,2
Cux1	Stk39	0.91803	0.50771	rgb(223,120,121)	1.9583	2,2
Prrx1	Endod1	-0.91803	-0.20888	rgb(172,189,225)	1.025	2,2
Rel	Cd86	0.91803	0.3296	rgb(221,154,155)	1.9583	2,2
Trp73	Cyth1	0.91803	0.20885	rgb(219,177,178)	1.9583	2,2
Sgsm2	Rgs16	-0.91803	-0.23998	rgb(165,185,226)	1.025	2,2
Zfp777	Pdxp	0.91803	0.47422	rgb(222,126,127)	1.9583	2,2
Creb3l2	Rcsd1	-0.90164	-0.45493	rgb(118,157,234)	1.0333	2,2
Elk3	Ermp1	-0.90164	-0.31987	rgb(148,175,229)	1.0333	2,2
Hhex	Rxra	0.90164	0.43084	rgb(222,135,136)	1.95	2,2
Nfe2	Cdk6	0.90164	0.2096	rgb(219,177,177)	1.95	2,2
Sp7_Sp8...	Sh3gl3	0.90164	0.27466	rgb(220,165,165)	1.95	2,2
Casz1	Myo10	0.90164	0.52204	rgb(223,117,118)	1.95	2,2
Tigd2	Calcrl	0.90164	0.15499	rgb(219,187,188)	1.95	2,2
Zfp52	Mpzl2	-0.90164	-0.33626	rgb(144,173,230)	1.0333	2,2
Etv2	Rgs16	0.88525	0.19158	rgb(219,180,181)	1.9417	2,2
Irf9	Ifit2	0.88525	0.37928	rgb(221,145,145)	1.9417	2,2
Mafg	Fyn	0.88525	0.61776	rgb(224, 99,100)	1.9417	2,2
Mxi1	Stk4	-0.88525	-0.27949	rgb(156,180,228)	1.0417	2,2
Nfe2l2	Stk4	-0.88525	-0.26092	rgb(160,183,227)	1.0417	2,2
Prrx1	Prickle1	-0.88525	-0.26182	rgb(160,182,227)	1.0417	2,2
Sp4	Cyth1	0.88525	0.22602	rgb(219,174,174)	1.9417	2,2
Spib	Cdk6	-0.88525	-0.18384	rgb(177,193,224)	1.0417	2,2
Foxp2	Endod1	0.88525	0.16207	rgb(219,186,186)	1.9417	2,2
Zfp418	Sh3gl3	0.88525	0.19746	rgb(219,179,180)	1.9417	2,2
Crem	Cmah	0.86885	0.45211	rgb(222,131,132)	1.9333	2,2
Dbp	Jak2	0.86885	0.20943	rgb(219,177,177)	1.9333	2,2
Ebf1	Cd86	-0.86885	-0.24177	rgb(165,185,226)	1.05	2,2
Esr1	Zfp7	0.86885	0.46909	rgb(222,127,128)	1.9333	2,2
Fos	Irf4	-0.86885	-0.45617	rgb(118,157,234)	1.05	2,2
Foxf2	Herc4	0.86885	0.23607	rgb(220,172,172)	1.9333	2,2
Foxq1	Arhgef3	0.86885	0.58885	rgb(223,105,106)	1.9333	2,2
Irf1	Ccr7	0.86885	0.29101	rgb(220,161,162)	1.9333	2,2
Rreb1	Nfkbie	0.86885	0.4709	rgb(222,127,128)	1.9333	2,2
Six1	Stk39	0.86885	0.27441	rgb(220,165,165)	1.9333	2,2
Stat3	Pccb	-0.86885	-0.3048	rgb(151,177,229)	1.05	2,2
Tcf7l1	Eea1	0.86885	0.66489	rgb(224, 90, 91)	1.9333	2,2
Dpf1	Cog6	0.86885	0.29204	rgb(220,161,162)	1.9333	2,2
Hmgb1	Ccr7	-0.86885	-0.32717	rgb(146,174,229)	1.05	2,2
Mxd1	Mmd	-0.86885	-0.37009	rgb(137,168,231)	1.05	None
Bcl11b	Herc4	0.85246	0.20563	rgb(219,178,178)	1.925	2,2
Bcl6	Calcrl	0.85246	0.13292	rgb(218,192,192)	1.925	2,2
Bhlhe40	Map4k4	0.85246	0.30816	rgb(220,158,159)	1.925	2,2
Crem	Inpp5a	0.85246	0.49282	rgb(222,123,124)	1.925	2,2
Dbp	B3gnt2	0.85246	0.27509	rgb(220,164,165)	1.925	None
Gabpa	Minpp1	0.85246	0.3056	rgb(220,159,159)	1.925	None
Gata2	App	0.85246	0.29742	rgb(220,160,161)	1.925	2,2
Gfi1	Rabggta	-0.85246	-0.44294	rgb(121,159,234)	1.0583	2,2
Mef2d	Nr4a1	0.85246	0.3353	rgb(221,153,154)	1.925	2,2
Msx2	Zeb1	0.85246	0.53025	rgb(223,116,117)	1.925	2,2
Nkx3-1	Antxr2	0.85246	0.21363	rgb(219,176,177)	1.925	2,2
Nkx3-1	Cxcr6	0.85246	0.43887	rgb(222,133,134)	1.925	2,2
Ppara	Tex15	0.85246	0.38538	rgb(221,143,144)	1.925	2,2
Pparg	B4galnt1	0.85246	0.49096	rgb(222,123,124)	1.925	2,2
Pparg	Gnpda1	-0.85246	-0.46602	rgb(116,155,235)	1.0583	2,2
Rreb1	Vgll4	0.85246	0.53036	rgb(223,116,117)	1.925	2,2
Sox21	Ccl3	-0.85246	-0.48524	rgb(112,153,235)	1.0583	None
Srebf1	Foxp1	-0.85246	-0.70934	rgb( 63,123,244)	1.0583	2,2
Stat1	Cd86	0.85246	0.22718	rgb(219,174,174)	1.925	2,2
Stat3	Lta	0.85246	0.30924	rgb(220,158,159)	1.925	2,2
Stat3	Myo10	0.85246	0.41061	rgb(222,139,139)	1.925	2,2
Stat3	Sidt1	-0.85246	-0.49905	rgb(109,151,236)	1.0583	2,2
Trp53	Ppm1d	0.85246	0.39009	rgb(221,142,143)	1.925	2,2
Zbtb6	Batf	0.85246	0.39519	rgb(221,142,142)	1.925	2,2
Zeb1	App	0.85246	0.27003	rgb(220,165,166)	1.925	2,2
Zfp219	Rgs16	-0.85246	-0.17571	rgb(179,194,224)	1.0583	2,2
Zfp281	Nr4a1	0.85246	0.43503	rgb(222,134,135)	1.925	2,2
Ncoa1	Csnk1e	0.85246	0.44187	rgb(222,133,133)	1.925	2,2
Tal2	Batf	-0.85246	-0.31537	rgb(149,175,229)	1.0583	2,2
Zfp280b	Rxra	0.85246	0.3238	rgb(221,155,156)	1.925	2,2
Creb3l1	Cog6	0.83607	0.23937	rgb(220,171,172)	1.9167	2,2
Dbp	Padi2	-0.83607	-0.28608	rgb(155,179,228)	1.0667	2,2
E2f4	Rcsd1	0.83607	0.29285	rgb(220,161,162)	1.9167	2,2
Egr2	Cdk6	-0.83607	-0.19203	rgb(175,192,224)	1.0667	2,2
Fosl2	Fyn	0.83607	0.36823	rgb(221,147,147)	1.9167	2,2
Foxf2	Aste1	0.83607	0.54632	rgb(223,113,114)	1.9167	2,2
Hif1a	Pdxp	0.83607	0.24479	rgb(220,170,171)	1.9167	None
Hmga1_Hmga1-rs1	Gnptab	0.83607	0.4597	rgb(222,129,130)	1.9167	2,2
Hmx3	Gnptab	-0.83607	-0.35291	rgb(140,170,230)	1.0667	2,2
Hsf1	Antxr2	-0.83607	-0.21979	rgb(169,188,225)	1.0667	2,2
Ikzf5	Csnk1e	0.83607	0.38275	rgb(221,144,145)	1.9167	2,2
Nfkb2	Rxra	0.83607	0.3069	rgb(220,158,159)	1.9167	2,2
Nr1h2_Nr1h3	Map4k4	-0.83607	-0.3007	rgb(152,177,228)	1.0667	2,2
Ppard	Mpzl2	-0.83607	-0.25098	rgb(163,184,227)	1.0667	2,2
Pparg	Tex15	-0.83607	-0.36465	rgb(138,169,231)	1.0667	2,2
Rela	Rcsd1	0.83607	0.29712	rgb(220,160,161)	1.9167	2,2
Snai2	Itpr1	-0.83607	-0.39921	rgb(130,164,232)	1.0667	2,2
Sp4	Stk39	0.83607	0.24691	rgb(220,170,170)	1.9167	2,2
Stat3	Arhgef3	-0.83607	-0.428	rgb(124,161,233)	1.0667	2,2
Stat3	Lif	0.83607	0.47521	rgb(222,126,127)	1.9167	2,2
Tcf7l2	Cyth1	-0.83607	-0.17423	rgb(179,194,224)	1.0667	2,2
Csrnp1	Socs1	0.83607	0.59356	rgb(224,104,105)	1.9167	2,2
Mbnl2	Ifit2	0.83607	0.24227	rgb(220,171,171)	1.9167	2,2
Tal2	Marcksl1	0.83607	0.43178	rgb(222,135,135)	1.9167	2,2
Ar	Tox	-0.81967	-0.33326	rgb(145,173,230)	1.075	2,2
Atf2	Vgll4	0.81967	0.30594	rgb(220,159,159)	1.9083	2,2
Atf6	Ptprf	0.81967	0.53294	rgb(223,115,116)	1.9083	2,2
