TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Nr1d2	Stab1	1	50.68	0.68	rgb(224, 87, 88)	2	None
Nkx1-2	Stap1	0.99426	50.62	0.618	rgb(224, 99,100)	1.9988	None
Smad3	Ss18	0.98853	50.61	0.606	rgb(224,101,102)	1.9986	None
Bhlhe40	Spsb1	0.98279	50.55	0.554	rgb(223,111,112)	1.9974	None
Zfp263	Sra1	0.97705	50.54	0.543	rgb(223,113,114)	1.9972	None
Zfp385a	St14	0.97132	50.53	0.528	rgb(223,116,117)	1.997	2,2
Foxp1	St8sia6	0.96558	50.51	0.512	rgb(223,119,120)	1.9966	2,2
Mafg	Sqstm1	0.95984	50.49	0.489	rgb(222,124,125)	1.9962	None
Ar	Sra1	0.95411	50.48	0.482	rgb(222,125,126)	1.996	None
Patz1	Ssbp4	0.95411	50.48	0.477	rgb(222,126,127)	1.996	None
Zfp809	Sqle	-0.94837	50.46	-4.6E-01	rgb(116,156,235)	1.9956	2,2
Ikzf4	Spsb1	-0.94264	50.45	-4.5E-01	rgb(119,158,234)	1.9954	2,2
Nfat5	Srgap3	0.94264	50.45	0.454	rgb(222,130,131)	1.9954	2,2
Myt1l	Stambp	0.9369	50.44	0.438	rgb(222,133,134)	1.9952	2,2
Zeb2	Srgap3	0.9369	50.44	0.441	rgb(222,133,134)	1.9952	2,2
Vax2	Sqle	0.93116	50.43	0.433	rgb(222,134,135)	1.995	None
Tal2	Sspo	0.93116	50.43	0.434	rgb(222,134,135)	1.995	2,2
Zeb2	Srxn1	0.93116	50.43	0.434	rgb(222,134,135)	1.995	2,2
Ahrr	Ssh2	0.92543	50.42	0.421	rgb(222,137,137)	1.9948	2,2
Sox4	Ssbp4	-0.91969	50.41	-4.1E-01	rgb(127,162,233)	1.9946	2,2
Npas4	Stac2	0.91395	50.4	0.403	rgb(221,140,141)	1.9944	None
Casz1	Sqstm1	0.91395	50.4	0.403	rgb(221,140,141)	1.9944	2,2
Mafb	Srgap3	0.90822	50.39	0.39	rgb(221,143,143)	1.9942	None
Zfp281	Sra1	-0.90822	50.39	-3.9E-01	rgb(132,165,232)	1.9942	None
E2f1	Srgn	-0.90248	50.38	-3.8E-01	rgb(134,166,232)	1.994	None
Nkx1-2	Sqle	0.90248	50.38	0.383	rgb(221,144,145)	1.994	None
Plagl2	Sptlc1	-0.90248	50.38	-3.8E-01	rgb(135,167,231)	1.994	2,2
Lyl1	Sptlc1	0.90248	50.38	0.753	rgb(225, 73, 75)	1.994	None
Tal2	Sptlc1	0.90248	50.38	0.753	rgb(225, 73, 75)	1.994	None
Mafg	Ssbp4	-0.89674	50.37	-3.7E-01	rgb(137,168,231)	1.9938	None
Srebf1	Sqle	0.89674	50.37	0.366	rgb(221,147,148)	1.9938	None
Srf	Sqstm1	0.89674	50.37	0.366	rgb(221,147,148)	1.9938	2,2
Stat3	St3gal1	-0.89674	50.37	-3.7E-01	rgb(137,168,231)	1.9938	None
Zbtb7a	Ssbp4	0.89674	50.37	0.373	rgb(221,146,147)	1.9938	None
Hmgb1	Ssbp4	0.89674	50.37	0.373	rgb(221,146,146)	1.9938	2,2
Zfp280b	Sspo	0.89674	50.37	0.374	rgb(221,146,146)	1.9938	2,2
Hmga2	Srsf12	0.89101	50.36	0.364	rgb(221,147,148)	1.9936	2,2
Klf9	Sqle	0.89101	50.36	0.355	rgb(221,149,150)	1.9936	None
Rela	Stambp	0.89101	50.36	0.36	rgb(221,148,149)	1.9936	None
Sox5	St14	0.89101	50.36	0.365	rgb(221,147,148)	1.9936	2,2
Zfhx3	St7	0.89101	50.36	0.363	rgb(221,148,148)	1.9936	None
Elf1	Src	0.88527	50.35	0.352	rgb(221,150,150)	1.9934	None
Glis3	Sqle	-0.88527	50.35	-3.5E-01	rgb(141,171,230)	1.9934	2,2
Smad3	Stab1	0.88527	50.35	0.348	rgb(221,150,151)	1.9934	2,2
Zfp511	Sptlc1	-0.88527	50.35	-3.5E-01	rgb(141,171,230)	1.9934	2,2
Nhlh1	Ssbp4	0.87953	50.34	0.342	rgb(221,152,152)	1.9932	None
Smad3	Spsb1	0.87953	50.34	0.337	rgb(221,153,153)	1.9932	2,2
Zscan10	Srpk1	0.87953	50.34	0.336	rgb(221,153,154)	1.9932	None
Zfp831	Sspo	0.87953	50.34	0.335	rgb(221,153,154)	1.9932	2,2
Atf6	Stab1	0.8738	50.33	0.33	rgb(221,154,155)	1.993	None
Dr1	Srpk1	-0.8738	50.33	-3.3E-01	rgb(145,173,230)	1.993	2,2
Bhlhe41	Spsb1	-0.86806	50.32	-3.2E-01	rgb(148,175,229)	1.9928	2,2
Spib	Stap1	0.86806	50.32	0.324	rgb(221,155,156)	1.9928	None
Tcf7l2	Srpk2	0.86806	50.32	0.324	rgb(221,155,156)	1.9928	None
Tef	Srpk1	0.86806	50.32	0.325	rgb(221,155,156)	1.9928	None
Foxc1	Ssh2	0.86233	50.31	0.313	rgb(220,157,158)	1.9926	None
Gata1	Stap1	0.86233	50.31	0.309	rgb(220,158,159)	1.9926	None
Hif1a	Stac2	0.86233	50.31	0.311	rgb(220,158,158)	1.9926	2,2
Hif3a	Srgn	0.86233	50.31	0.306	rgb(220,159,159)	1.9926	None
Irf9	Sqstm1	0.86233	50.31	0.305	rgb(220,159,159)	1.9926	None
Nfe2	Sqstm1	0.86233	50.31	0.309	rgb(220,158,159)	1.9926	None
Nr3c2	Srgn	0.86233	50.31	0.314	rgb(220,157,158)	1.9926	2,2
Erg	Ssh2	0.85659	50.29	0.292	rgb(220,161,162)	1.9921	None
Plag1	Ssbp4	0.85659	50.29	0.29	rgb(220,162,162)	1.9921	None
Ppara	Srgn	0.85659	50.29	0.291	rgb(220,161,162)	1.9921	None
Srf	Stambp	-0.85659	50.29	-2.9E-01	rgb(154,179,228)	1.9921	2,2
Thrb	Stap1	0.85659	50.29	0.289	rgb(220,162,162)	1.9921	None
Zfp148	St7	-0.85659	50.29	-2.9E-01	rgb(154,179,228)	1.9921	None
Mxd1	Spsb1	0.85659	50.29	0.294	rgb(220,161,161)	1.9921	2,2
Gata3	Stap1	0.85085	50.28	0.285	rgb(220,163,163)	1.9919	None
Klf12	Srpk1	-0.85085	50.28	-2.8E-01	rgb(157,180,228)	1.9919	None
Nfe2l2	Ssbp4	0.85085	50.28	0.28	rgb(220,164,164)	1.9919	None
Tbx6	Sqle	-0.85085	50.28	-2.8E-01	rgb(157,180,228)	1.9919	2,2
Atf3	St14	-0.84512	50.27	-2.7E-01	rgb(157,181,227)	1.9917	2,2
Egr2	Srpk1	0.84512	50.27	0.274	rgb(220,165,165)	1.9917	None
Sox5	Srpk2	0.84512	50.27	0.265	rgb(220,166,167)	1.9917	None
Dpf1	Stac2	0.84512	50.27	0.27	rgb(220,165,166)	1.9917	2,2
Mbnl2	St8sia6	0.84512	50.27	0.272	rgb(220,165,166)	1.9917	2,2
Fli1	Ssh2	0.83938	50.26	0.264	rgb(220,167,167)	1.9915	None
Mlxipl	Sra1	-0.83938	50.26	-2.6E-01	rgb(161,183,227)	1.9915	None
Six5	Srxn1	-0.83938	50.26	-2.6E-01	rgb(160,183,227)	1.9915	None
Zbtb1	Sptlc1	0.83938	50.26	0.264	rgb(220,167,167)	1.9915	2,2
Zfp667	Sptlc1	-0.83938	50.26	-2.6E-01	rgb(161,183,227)	1.9915	2,2
Rfx7	Srxn1	0.83364	50.25	0.254	rgb(220,168,169)	1.9913	2,2
Tead1	Sptlc1	0.83364	50.25	0.249	rgb(220,170,170)	1.9913	2,2
Satb1	Srgn	0.83364	50.25	0.251	rgb(220,169,170)	1.9913	2,2
Cebpb	St8sia6	-0.82791	50.24	-2.4E-01	rgb(165,185,226)	1.9911	None
Fli1	Sra1	0.82791	50.24	0.239	rgb(220,171,172)	1.9911	None
Mxi1	Ssbp4	0.82791	50.24	0.236	rgb(220,172,172)	1.9911	None
Nfia	St8sia6	0.82791	50.24	0.24	rgb(220,171,172)	1.9911	2,2
Nr1d1	Stab1	0.82791	50.24	0.237	rgb(220,172,172)	1.9911	None
Tead3	Srgn	0.82791	50.24	0.238	rgb(220,172,172)	1.9911	None
Maff	St3gal1	-0.82217	50.23	-2.3E-01	rgb(166,186,226)	1.9909	None
Meis2	Srpk1	-0.82217	50.23	-2.3E-01	rgb(167,186,226)	1.9909	None
Prox1	Sspo	0.82217	50.23	0.226	rgb(219,174,174)	1.9909	2,2
Zfp334	Srxn1	0.82217	50.23	0.231	rgb(220,173,173)	1.9909	2,2
Zfp105	St3gal1	-0.81643	50.22	-2.2E-01	rgb(168,187,226)	1.9907	None
Egr2	Srgap3	0.8107	50.21	0.205	rgb(219,178,178)	1.9905	None
Peg3	St18	0.8107	50.21	0.21	rgb(219,177,177)	1.9905	2,2
Zfp367	St3gal5	0.8107	50.21	0.212	rgb(219,177,177)	1.9905	2,2
Batf	Srpx2	0.80496	50.19	0.188	rgb(219,181,182)	1.9901	None
Stat4	Srgap3	0.79922	50.18	0.175	rgb(219,183,184)	1.9899	None
Nfkb2	Srgap3	0.79349	50.17	0.172	rgb(219,184,184)	1.9897	None
Stat3	St8sia6	-0.79349	50.17	-1.7E-01	rgb(181,195,223)	1.9897	None
Zfp148	Ssh2	0.79349	50.17	0.169	rgb(219,185,185)	1.9897	None
Hes1	Srpk2	-0.78775	50.16	-1.6E-01	rgb(182,195,223)	1.9895	None
Bcl11b	St8sia6	0.78202	50.15	0.146	rgb(219,189,189)	1.9893	None
Foxp3	Stac2	0.77628	50.14	0.138	rgb(219,191,191)	1.9891	None
Fosl2	Src	0.77054	50.08	0.083	rgb(218,201,201)	1.9879	None
Xbp1	Stab1	-0.77054	50.08	-8.2E-02	rgb(199,206,220)	1.9879	None
Bach1	Srxn1	0.76481	50.06	0.064	rgb(218,205,205)	1.9875	None
Dr1	Ss18	-0.75907	50.05	-5.2E-02	rgb(206,210,219)	1.9873	2,2
Zfp11	Srpx2	-0.75333	49.55	-5.5E-01	rgb( 98,145,238)	1.9773	2,2
Srebf1	St7l	0.75046	49.51	0.515	rgb(223,119,120)	1.9764	None
Pcgf2	Stambp	0.74759	49.43	0.432	rgb(222,135,135)	1.9748	2,2
Ar	Ss18	0.74472	49.4	0.402	rgb(221,140,141)	1.9742	None
Hmg20b	Ssh2	-0.74472	49.4	-4.0E-01	rgb(129,164,232)	1.9742	2,2
Ebf1	St8sia6	0.74185	49.37	0.372	rgb(221,146,147)	1.9736	2,2
Zfp219	Srgn	0.74185	49.37	0.37	rgb(221,146,147)	1.9736	None
Myt1l	St6galnac1	-0.73898	49.35	-3.5E-01	rgb(141,171,230)	1.9732	2,2
Nr4a3	Sptlc1	0.73611	49.34	0.34	rgb(221,152,153)	1.973	2,2
Pou2f2	Srpk2	0.73611	49.34	0.338	rgb(221,152,153)	1.973	None
Glis3	Ssh2	0.73324	49.33	0.332	rgb(221,154,154)	1.9728	2,2
Irf5	Sqstm1	0.73037	49.32	0.323	rgb(221,155,156)	1.9726	None
Arntl2	St3gal1	-0.7275	49.31	-3.1E-01	rgb(149,176,229)	1.9724	2,2
Nfat5	Stambp	0.72463	49.3	0.297	rgb(220,160,161)	1.9722	None
Nr4a2	Srpk2	0.72463	49.3	0.295	rgb(220,161,161)	1.9722	2,2
Lhx6	St14	0.72176	49.29	0.291	rgb(220,161,162)	1.972	2,2
Zfp629	Sqstm1	0.71889	49.28	0.281	rgb(220,163,164)	1.9718	2,2
Sall4	Srgap3	0.71602	49.27	0.275	rgb(220,165,165)	1.9716	2,2
Nfat5	Stap1	0.71315	49.24	0.245	rgb(220,170,171)	1.971	None
E4f1	St8sia6	0.71028	49.23	0.233	rgb(220,172,173)	1.9708	2,2
Foxh1	Srpk1	0.70741	49.21	0.21	rgb(219,177,177)	1.9704	None
