	GSM1074947_APPLY_p_Hulin_58_430A_Mouse430A_2_A01_528242.EXPRESSION	GSM1074948_APPLY_p_Hulin_58_430A_Mouse430A_2_A02_528130.EXPRESSION	GSM1074949_APPLY_p_Hulin_58_430A_Mouse430A_2_A03_528272.EXPRESSION	GSM1074950_APPLY_p_Hulin_58_430A_Mouse430A_2_A04_528190.EXPRESSION	GSM1074951_APPLY_p_Hulin_58_430A_Mouse430A_2_A05_528142.EXPRESSION	GSM1074952_APPLY_p_Hulin_58_430A_Mouse430A_2_A06_528174.EXPRESSION	GSM1074953_APPLY_p_Hulin_58_430A_Mouse430A_2_A07_528222.EXPRESSION	GSM1074954_APPLY_p_Hulin_58_430A_Mouse430A_2_A08_528264.EXPRESSION	GSM1074955_APPLY_p_Hulin_58_430A_Mouse430A_2_A09_528228.EXPRESSION	GSM1074956_APPLY_p_Hulin_58_430A_Mouse430A_2_A10_528122.EXPRESSION	GSM1074957_APPLY_p_Hulin_58_430A_Mouse430A_2_A11_528118.EXPRESSION	GSM1074958_APPLY_p_Hulin_58_430A_Mouse430A_2_A12_528294.EXPRESSION	GSM1074959_APPLY_p_Hulin_58_430A_Mouse430A_2_B01_528198.EXPRESSION	GSM1074960_APPLY_p_Hulin_58_430A_Mouse430A_2_B02_528162.EXPRESSION	GSM1074961_APPLY_p_Hulin_58_430A_Mouse430A_2_B03_528172.EXPRESSION	GSM1074962_APPLY_p_Hulin_58_430A_Mouse430A_2_B04_528232.EXPRESSION	GSM1074963_APPLY_p_Hulin_58_430A_Mouse430A_2_B05_528290.EXPRESSION	GSM1074964_APPLY_p_Hulin_58_430A_Mouse430A_2_B06_528150.EXPRESSION	GSM1074965_APPLY_p_Hulin_58_430A_Mouse430A_2_B07_528284.EXPRESSION	GSM1074966_APPLY_p_Hulin_58_430A_Mouse430A_2_B08_528244.EXPRESSION	GSM1074967_APPLY_p_Hulin_58_430A_Mouse430A_2_B09_528186.EXPRESSION	GSM1074968_APPLY_p_Hulin_58_430A_Mouse430A_2_B10_528194.EXPRESSION	GSM1074969_APPLY_p_Hulin_58_430A_Mouse430A_2_B11_528262.EXPRESSION	GSM1074970_APPLY_p_Hulin_58_430A_Mouse430A_2_B12_528132.EXPRESSION	GSM1074971_APPLY_p_Hulin_58_430A_Mouse430A_2_C01_528304.EXPRESSION	GSM1074972_APPLY_p_Hulin_58_430A_Mouse430A_2_C02_528216.EXPRESSION	GSM1074973_APPLY_p_Hulin_58_430A_Mouse430A_2_C03_528184.EXPRESSION	GSM1074974_APPLY_p_Hulin_58_430A_Mouse430A_2_C04_528282.EXPRESSION	GSM1074975_APPLY_p_Hulin_58_430A_Mouse430A_2_C05_528136.EXPRESSION	GSM1074976_APPLY_p_Hulin_58_430A_Mouse430A_2_C06_528296.EXPRESSION	GSM1074977_APPLY_p_Hulin_58_430A_Mouse430A_2_C07_528298.EXPRESSION	GSM1074978_APPLY_p_Hulin_58_430A_Mouse430A_2_C08_528280.EXPRESSION	GSM1074979_APPLY_p_Hulin_58_430A_Mouse430A_2_C09_528286.EXPRESSION	GSM1074980_APPLY_p_Hulin_58_430A_Mouse430A_2_C10_528210.EXPRESSION	GSM1074981_APPLY_p_Hulin_58_430A_Mouse430A_2_C11_528134.EXPRESSION	GSM1074982_APPLY_p_Hulin_58_430A_Mouse430A_2_C12_528212.EXPRESSION	GSM1074983_APPLY_p_Hulin_58_430A_Mouse430A_2_D01_528268.EXPRESSION	GSM1074984_APPLY_p_Hulin_58_430A_Mouse430A_2_D02_528182.EXPRESSION	GSM1074985_APPLY_p_Hulin_58_430A_Mouse430A_2_D03_528274.EXPRESSION	GSM1074986_APPLY_p_Hulin_58_430A_Mouse430A_2_D04_528204.EXPRESSION	GSM1074987_APPLY_p_Hulin_58_430A_Mouse430A_2_D05_528252.EXPRESSION	GSM1074988_APPLY_p_Hulin_58_430A_Mouse430A_2_D06_528278.EXPRESSION	GSM1074989_APPLY_p_Hulin_58_430A_Mouse430A_2_D07_528152.EXPRESSION	GSM1074990_APPLY_p_Hulin_58_430A_Mouse430A_2_D08_528188.EXPRESSION	GSM1074991_APPLY_p_Hulin_58_430A_Mouse430A_2_D09_528292.EXPRESSION	GSM1074992_APPLY_p_Hulin_58_430A_Mouse430A_2_D10_528250.EXPRESSION	GSM1074993_APPLY_p_Hulin_58_430A_Mouse430A_2_D11_528164.EXPRESSION	GSM1074994_APPLY_p_Hulin_58_430A_Mouse430A_2_D12_528160.EXPRESSION	GSM1074995_APPLY_p_Hulin_58_430A_Mouse430A_2_E01_528176.EXPRESSION	GSM1074996_APPLY_p_Hulin_58_430A_Mouse430A_2_E02_528206.EXPRESSION	GSM1074997_APPLY_p_Hulin_58_430A_Mouse430A_2_E03_528124.EXPRESSION	GSM1074998_APPLY_p_Hulin_58_430A_Mouse430A_2_E04_528254.EXPRESSION	GSM1074999_APPLY_p_Hulin_58_430A_Mouse430A_2_E05_528128.EXPRESSION	GSM1075000_APPLY_p_Hulin_58_430A_Mouse430A_2_E06_528276.EXPRESSION	GSM1075001_APPLY_p_Hulin_58_430A_Mouse430A_2_E07_528166.EXPRESSION	GSM1075002_APPLY_p_Hulin_58_430A_Mouse430A_2_E08_528126.EXPRESSION	GSM1075003_APPLY_p_Hulin_58_430A_Mouse430A_2_E09_528236.EXPRESSION	GSM1075004_APPLY_p_Hulin_58_430A_Mouse430A_2_E10_528246.EXPRESSION
0610007P14Rik	8.266735078	7.743811108	7.327050559	8.541930849	9.047214123	9.336418937	9.403891436	9.636212904	9.986656087	10.04179044	10.11679624	9.835805864	9.93679501	9.987899325	10.17376333	10.05588629	9.996580521	9.846813381	8.279791191	7.54008422	7.369412814	8.511170532	9.365058707	9.696114341	9.510435598	10.05469826	10.52145069	10.54487131	10.78272931	10.4032748	10.24912333	10.46390168	10.43468533	10.41513385	9.997923838	10.41470903	10.41443389	10.37561843	9.801212287	10.04967357	7.734365902	8.373653632	9.399751658	9.997615528	9.653068858	9.742538221	9.904240878	9.959785037	7.782173916	8.360898431	9.527831519	10.61964731	10.23258691	10.08804587	10.20295441	10.09352955	10.11964935	9.832533696
0610012G03Rik	9.465757032	9.033781465	9.199487542	8.912636468	9.579561887	9.760215867	9.76692826	9.827982756	9.937799568	9.798067759	9.819974498	9.637264489	9.471821738	9.554677429	9.429315741	9.499927019	9.415390997	9.512794744	9.282664316	8.948285878	9.056463133	9.186338859	9.492313118	9.892449574	9.791896795	9.943646681	9.982329961	10.13795682	10.28665578	9.863073438	9.957418357	10.05544886	10.07489065	10.03794636	10.46869279	10.34832499	10.04550093	10.11330503	10.67838667	10.78468318	9.208104107	9.311358439	9.958643914	9.840692683	9.496383684	9.395397804	9.630723236	9.626416412	9.11836338	9.172694766	9.834550562	10.05072282	10.06228052	9.939931123	10.20654947	10.25518705	10.23323244	10.587886
1110007C09Rik	7.518013169	7.649233648	7.275950851	5.901960581	5.916034835	6.091457136	5.81721162	6.268775656	6.543417357	7.245321834	7.154707609	6.609699167	6.585450042	6.381800984	6.466742518	6.394803466	6.393435561	6.673744359	7.514884823	7.611141666	7.095536731	6.738806871	6.471235482	6.491371277	6.617069304	7.185641741	7.329445165	7.762350274	7.964749379	8.051286802	7.43839981	7.603090885	7.336331941	7.614332324	7.375118409	7.542813947	7.433034053	7.493455334	7.369985866	7.354864297	7.437168905	6.520883607	6.008689079	7.146049566	6.70088245	6.57862446	6.285394061	6.151590805	7.594587324	6.420155522	6.962401636	7.661249752	7.93262666	7.481699053	7.726408453	7.617731768	7.754128053	7.769600604
1110057K04Rik	9.390835582	8.981658008	8.461533159	8.693085645	9.075514315	9.511161728	9.56395446	9.625330692	9.510139372	9.418423911	9.444899641	9.159115654	9.189097191	9.188678208	9.102300765	9.040984083	9.372542895	9.052537523	9.40777136	8.717808763	8.595319443	8.725003706	9.160530228	9.555407176	9.567774352	9.582895184	9.389776169	9.112840248	9.154194594	8.982147167	8.730653914	8.634180055	8.824872302	8.600584453	8.97055181	8.469509792	8.678352214	8.516518044	8.969680638	8.56975528	8.876200598	8.733301224	9.652624885	9.531788422	9.249303445	9.340325554	9.138438104	9.150456436	9.062925257	8.572921319	9.460899896	9.125807818	8.782257904	8.873226539	8.767309425	8.93418264	8.833170342	8.957708398
1190002N15Rik	8.603526268	9.044160056	8.158581095	8.283101896	7.831032228	8.115993186	7.952591017	7.596524667	7.479861039	7.989940089	8.143365558	8.078931872	8.192560223	7.941590402	7.984107317	7.995125475	8.013528497	7.833241226	8.576741616	8.631951473	8.02999339	8.4035857	8.239362951	8.160968957	8.128002211	7.816284917	7.896899465	8.533436414	8.801750544	8.663178831	8.867440616	9.145698479	8.941197634	9.007437149	9.036826443	9.279603839	8.719502038	9.004718539	9.078492174	9.290577526	8.898700944	8.123311451	7.901291254	8.162637298	7.96914282	8.056439939	8.101537858	8.147119634	8.856336637	8.136537864	7.929439459	8.66371545	8.624601276	9.081089375	9.172720845	8.973585393	8.956857698	8.877430453
1600014C10Rik	9.276878046	8.415301398	9.048567529	7.991336467	7.484456352	7.404317722	7.16741175	7.55401072	7.653972748	8.213098317	7.929556305	7.722832237	7.681649639	7.761629848	7.835561247	7.586923472	7.542363015	7.673130334	9.129465829	9.791466143	10.24008299	8.566067129	8.098122691	7.978045699	7.628856366	7.886739471	8.211780409	9.383857628	9.138512309	8.737579518	8.400432152	8.357867384	8.431911239	8.381094325	8.786026766	8.472678692	8.238531305	8.632125183	9.212361492	9.597107757	8.599611062	8.256102536	7.354010558	7.926852746	7.951527389	7.718674049	7.618917422	7.753710701	9.619164363	8.748038143	7.841591613	9.028453655	9.152272748	8.841668736	8.48533789	8.607617011	8.734444117	9.172154502
2310033P09Rik	8.193645888	8.594337128	8.753165947	8.970454326	8.569853228	8.421560486	8.05456061	8.397017768	8.368143566	8.585318626	8.547241772	8.553421179	8.402252823	8.329142347	8.228406539	8.130940528	8.163141059	8.173017754	8.152002044	8.315143204	8.437172237	8.673517349	8.504090313	8.124733415	7.949226395	8.095247653	7.95629289	8.325880411	8.216014109	8.15755678	7.930983873	7.78789165	7.95860554	7.841013612	7.701784187	7.36706673	7.800950935	7.781266038	7.67738761	7.341001635	8.290344194	8.913521606	8.296970336	8.657289336	8.50163003	8.214830099	8.274732932	8.150884813	8.106203542	8.572971493	7.867682691	8.172484065	8.148166722	7.714065916	8.004014634	7.804435629	7.967268276	7.766002887
4632428N05Rik	10.83623643	10.97988105	12.2597931	12.44738731	11.86167511	11.53332903	11.45414797	10.69006519	10.46584903	9.424277847	9.049422276	8.939183043	8.355034196	8.179209651	8.388077252	7.908599907	8.636014534	7.948616626	10.78454506	10.55742045	11.68883051	12.30810122	11.77062783	11.36632182	11.49082405	10.51899552	10.16113557	9.106587276	8.313662488	7.204029857	7.709388742	7.857543336	7.922480603	7.730492789	8.358421604	8.157147658	7.618146949	7.695622444	8.062206162	8.687130211	10.81101724	12.3751725	11.54922384	9.483958697	9.030817755	8.636915452	8.261683075	8.253270322	10.6320146	12.45851318	11.31291055	8.89823226	7.599439314	7.925008881	7.770099304	8.264011837	7.741716655	8.285863747
4833439L19Rik	8.564976953	8.631986601	9.248736156	9.189366115	9.052217422	9.059503738	8.91931065	8.736551879	8.757404989	8.495334566	8.517608769	8.770764762	8.882070884	8.967419036	8.954945633	8.993496814	8.781084605	9.036474374	8.684483929	8.805084459	9.297061318	9.305755542	9.114365641	9.089796868	8.950258624	9.115353974	9.109128253	8.930387197	9.026813709	9.233162098	9.490185075	9.446584636	9.481132079	9.392816264	9.309006617	9.378823393	9.514150106	9.433495889	9.310092294	9.502806496	8.727421225	8.986083228	8.983821818	8.721726171	8.844908604	8.845289582	8.918933364	8.997073163	8.828188704	9.050102324	8.998834212	8.970316126	9.047233443	9.262742117	9.393923665	9.314358437	9.359605016	9.362035199
9030617O03Rik	6.054115084	5.630170115	4.364222185	4.978232605	5.389706216	6.662126819	8.109790702	7.279259282	6.465498299	5.967862553	6.357567652	7.070892381	7.053061047	7.071323402	6.570648994	6.99062602	7.654362674	7.759247522	6.106650104	5.751899895	4.98969173	4.515417578	5.792652996	6.965649485	8.424468012	7.280387268	6.246013102	5.749050843	6.12274034	7.004818373	5.909218382	4.473059997	5.200327955	4.716446932	6.750436386	6.207731793	5.038203434	4.725590449	6.683639634	6.14361886	5.045215315	4.631901243	7.625006983	5.652635141	7.202196715	6.79815997	7.26259051	7.41832995	5.666678099	4.321928095	8.031850726	5.486241498	6.899583508	6.274161558	5.282224723	6.339839918	5.524016253	6.517907016
