TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Egln1	1	50.91	0.908	rgb(227, 44, 45)	2	None
Gm14420	Gm2011	0.99584	50.89	0.893	rgb(227, 46, 48)	1.9996	2,2
Hif1a	Bnip3	0.99169	50.86	0.855	rgb(226, 54, 55)	1.999	None
Irf9	Parp9	0.99169	50.86	0.856	rgb(226, 54, 55)	1.999	None
Zfp536	Tekt2	0.99169	50.86	0.856	rgb(226, 53, 55)	1.999	2,2
Hif1a	Slc2a3	0.98753	50.85	0.852	rgb(226, 54, 56)	1.9988	2,2
Csrnp1	Mxd1	0.98338	50.84	0.84	rgb(226, 57, 58)	1.9986	2,2
Tal2	Marcksl1	0.98338	50.84	0.835	rgb(226, 57, 59)	1.9986	2,2
Fosl1	Mt1	0.97922	50.83	0.829	rgb(226, 59, 60)	1.9984	None
Zfp276	Amigo3	0.97922	50.83	0.832	rgb(226, 58, 60)	1.9984	2,2
Hif1a	Jmjd6	0.97507	50.82	0.817	rgb(226, 61, 63)	1.9982	None
Hif1a	Ero1l	0.97091	50.81	0.807	rgb(226, 63, 65)	1.998	None
Hif1a	Pgm2	0.97091	50.81	0.813	rgb(226, 62, 63)	1.998	None
Elf1	Ppp1r13l	-0.96675	50.8	-8.0E-01	rgb( 44,112,247)	1.9978	None
Foxj1	Mfge8	0.9626	50.79	0.79	rgb(226, 66, 68)	1.9976	2,2
Hif1a	Sap30	0.9626	50.79	0.791	rgb(226, 66, 68)	1.9976	None
Hif1a	Slc2a1	0.9626	50.79	0.787	rgb(226, 67, 68)	1.9976	2,2
Sp2	Gatm	0.9626	50.79	0.79	rgb(226, 66, 68)	1.9976	None
Mxd1	Csrnp1	0.9626	50.79	0.786	rgb(226, 67, 69)	1.9976	2,2
Sgsm2	Tert	0.9626	50.79	0.793	rgb(226, 66, 67)	1.9976	2,2
