TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Stat3	Tnip2	1	0.43895	rgb(222,133,134)	2	2,2
Hif1a	Ero1l	0.97623	0.42	rgb(222,137,138)	1.9877	2,2
Stat3	Klhl6	0.97211	0.70737	rgb(225, 82, 83)	1.9856	2,2
Nr1d2	Stab1	0.96234	0.51579	rgb(223,118,120)	1.9806	2,2
Klf5	Tmem184b	0.95407	0.53789	rgb(223,114,115)	1.9763	2,2
Klf5	Numbl	0.94918	0.37474	rgb(221,145,146)	1.9738	2,2
Zfx	Nudt8	-0.93653	-0.52737	rgb(103,147,237)	1	2,2
Topors	Cdkn2d	0.92676	0.58	rgb(223,106,107)	1.9622	2,2
Gabpa	Heatr1	0.92626	0.37684	rgb(221,145,146)	1.9619	2,2
Hif1a	Bnip3	0.9245	0.46526	rgb(222,128,129)	1.961	2,2
Gm14420	Gm2011	0.92146	0.35053	rgb(221,150,151)	1.9594	2,2
Zfp263	2210013O21Rik	0.91361	0.46421	rgb(222,128,129)	1.9554	2,2
Klf5	Pcbp4	0.90636	0.65789	rgb(224, 91, 93)	1.9516	2,2
Stat3	Il21	0.90242	0.65474	rgb(224, 92, 93)	1.9496	2,2
Egr3	Crtc1	0.8982	0.51895	rgb(223,118,119)	1.9474	2,2
Hey1	Ndufv3	-0.89573	-0.64947	rgb( 76,131,242)	1.0211	2,2
Elf1	Flot2	-0.88422	-0.59789	rgb( 87,138,240)	1.027	2,2
Hif1a	Sap30	0.88294	0.51368	rgb(223,119,120)	1.9395	2,2
Yy2	Eci2	-0.88289	-0.53158	rgb(102,147,237)	1.0277	2,2
Prdm1	Txndc17	0.88256	0.55474	rgb(223,111,112)	1.9394	2,2
Hif1a	Egln1	0.87955	0.39263	rgb(221,142,143)	1.9378	2,2
Hif1a	Pgm2	0.87033	0.46842	rgb(222,128,128)	1.933	2,2
Zfx	S100a13	-0.86686	-0.62316	rgb( 82,135,241)	1.036	2,2
E2f1	Smpd4	0.86547	0.38632	rgb(221,143,144)	1.9305	2,2
Sall4	Foxp3	0.86503	0.58526	rgb(223,105,106)	1.9303	2,2
