TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Gm14420	Cdkn2d	1	0.55136	rgb(223,112,113)	2	2,2
Hif1a	Ero1l	0.99425	0.61127	rgb(224,100,101)	1.9971	2,2
Stat3	Tnip2	0.98215	0.50856	rgb(223,120,121)	1.991	2,2
Zfx	S100a13	-0.98037	-0.56705	rgb( 94,142,239)	1	2,2
Hif1a	Bnip3	0.97979	0.49001	rgb(222,123,124)	1.9898	2,2
Hif1a	Egln1	0.96679	0.51926	rgb(223,118,119)	1.9832	2,2
Hif1a	Pgm2	0.95212	0.56205	rgb(223,110,111)	1.9758	2,2
Zfx	Nudt8	-0.94827	-0.69044	rgb( 67,126,243)	1.0162	None
Stat3	Chmp4b	0.92058	0.70185	rgb(225, 83, 84)	1.9599	2,2
Zfp335	Krtcap2	-0.91573	-0.64337	rgb( 77,132,241)	1.0326	2,2
E2f1	Anln	0.91337	0.57632	rgb(223,107,108)	1.9563	2,2
E2f4	Cdc25b	0.90075	0.62054	rgb(224, 98,100)	1.9499	2,2
Batf	Chm	0.88479	0.58488	rgb(223,105,106)	1.9418	2,2
Gabpa	Heatr1	0.88431	0.52996	rgb(223,116,117)	1.9416	2,2
Hif1a	Slc2a1	0.87393	0.67404	rgb(224, 88, 90)	1.9363	2,2
Gabpa	Zfp568	0.87233	0.59272	rgb(224,104,105)	1.9355	2,2
Irf5	Slc4a8	-0.86842	-0.51427	rgb(105,149,237)	1.0565	2,2
Hif1a	Slc2a3	0.86779	0.68973	rgb(225, 85, 87)	1.9332	2,2
Hif1a	Hk1	0.86459	0.61198	rgb(224,100,101)	1.9316	2,2
Batf	Gem	0.85653	0.66262	rgb(224, 90, 92)	1.9276	2,2
Hif1a	Ppme1	0.85398	0.71826	rgb(225, 80, 81)	1.9263	2,2
Gabpa	Gpatch4	0.84972	0.64408	rgb(224, 94, 95)	1.9241	2,2
Hes1	Gart	0.84372	0.61698	rgb(224, 99,100)	1.9211	2,2
Hif1a	Sap30	0.8431	0.71327	rgb(225, 81, 82)	1.9208	2,2
Bhlhe40	Cnnm3	0.84011	0.64265	rgb(224, 94, 96)	1.9193	2,2
Irf9	Parp9	0.83998	0.5806	rgb(223,106,107)	1.9192	2,2
Zfp664	Cyr61	0.8384	0.63766	rgb(224, 95, 96)	1.9184	2,2
Irf8	Ifih1	0.83615	0.59058	rgb(223,104,105)	1.9173	2,2
Fosl1	Chst12	0.83335	0.62268	rgb(224, 98, 99)	1.9158	2,2
