TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Nr1d2	Stab1	1	0.45362	rgb(222,130,131)	2	2,2
Hif1a	Ero1l	0.96378	0.36493	rgb(221,147,148)	1.9813	2,2
Hif1a	Bnip3	0.94824	0.37819	rgb(221,145,146)	1.9733	2,2
Gm14420	Gm2011	0.94326	0.3476	rgb(221,151,151)	1.9708	2,2
Zfx	S100a13	-0.94094	-0.56881	rgb( 94,142,239)	1	2,2
Topors	Cdkn2d	0.93771	0.48624	rgb(222,124,125)	1.9679	2,2
Hif1a	Egln1	0.9375	0.40061	rgb(221,140,141)	1.9678	2,2
Egr3	Crtc1	0.93604	0.3843	rgb(221,144,144)	1.967	2,2
E2f4	Cdc25b	0.93583	0.57288	rgb(223,108,109)	1.9669	2,2
Cic	Itpk1	0.93462	0.5423	rgb(223,113,115)	1.9663	2,2
Zfx	S100a1	-0.93227	-0.48522	rgb(112,153,235)	1.0045	2,2
Klf5	Pcbp4	0.92917	0.61876	rgb(224, 99,100)	1.9635	2,2
Stat3	Tnip2	0.92858	0.58716	rgb(223,105,106)	1.9632	2,2
Stat3	Chmp4b	0.92312	0.48318	rgb(222,125,126)	1.9604	2,2
Zfp281	Foxp4	0.92291	0.41284	rgb(222,138,139)	1.9603	2,2
Zfx	Nudt8	-0.92251	-0.44444	rgb(121,158,234)	1.0095	2,2
Gabpa	Heatr1	0.89912	0.40775	rgb(221,139,140)	1.948	2,2
Klf5	Numbl	0.89683	0.51988	rgb(223,118,119)	1.9468	2,2
Erg	Kdelc1	-0.8958	-0.55046	rgb( 98,144,238)	1.0233	2,2
Hif1a	Pgm2	0.89101	0.52905	rgb(223,116,117)	1.9438	2,2
Sall4	Foxp3	0.88895	0.53925	rgb(223,114,115)	1.9428	2,2
Gabpa	Gpatch4	0.88502	0.51988	rgb(223,118,119)	1.9408	2,2
Stat3	Klhl6	0.8791	0.68196	rgb(225, 87, 88)	1.9377	2,2
Zfx	Son	0.87834	0.70744	rgb(225, 82, 83)	1.9373	2,2
Zfx	Urb1	0.87667	0.48216	rgb(222,125,126)	1.9365	2,2
Zfp536	Tekt2	0.87154	0.37105	rgb(221,146,147)	1.9338	2,2
Sp3	Aldoc	0.86227	0.4791	rgb(222,125,126)	1.929	2,2
Hif1a	Smtnl2	0.86017	0.50561	rgb(223,120,121)	1.928	2,2
Cic	Cyth4	0.85958	0.65443	rgb(224, 92, 93)	1.9277	2,2
E2f1	Samd1	0.85857	0.52803	rgb(223,116,117)	1.9271	2,2
Egr3	Smyd5	0.8582	0.53619	rgb(223,115,116)	1.9269	2,2
